cheat sheet,"a cheat sheet in back that lists them. (idiomatic) Any summary or quick reference used as a shortcut or reminder, such as an aid for public speaking","2 KB (85 words) - 08:07, 14 January 2017"
QRH,"slang, question) Does my frequency vary? (radio slang, statement) Your frequency varies. QRH (plural QRHs) Abbreviation of quick reference handbook.","311 bytes (22 words) - 14:19, 28 July 2016"
persistable,"including persistable objects. 2002, Drayton et al, C# in a Nutshell: A Desktop Quick Reference A dynamic module can be either transient or persistable.","476 bytes (56 words) - 01:36, 9 January 2017"
marshaler,"2007, Joseph Albahari, ?Ben Albahari, C# 3.0 in a Nutshell: A Desktop Quick Reference (page 723) The CLR includes a marshaler that knows how to convert parameters","663 bytes (84 words) - 15:35, 27 July 2016"
pseudoselector,"2009, Jennifer Niederst Robbins, Web Design in a Nutshell: A Desktop Quick Reference But some elements are not necessarily found in the document markup","582 bytes (75 words) - 01:28, 29 July 2016"
autoclick,"autoclick software. 2012, John Paul Mueller, Windows 8 For Dummies Quick Reference When you hover the mouse cursor over an item that has the autoclick","620 bytes (80 words) - 12:03, 29 April 2016"
MUMPS,of MUMPS Reference Project for all Open MUMPS on SourceForge The FreeM project Ed de Moel's MUMPS by Example MUMPS Language Quick Reference Online (Free),"1 KB (128 words) - 01:00, 13 September 2016"
kuin kuumille kiville,"hot stones""; a reference to sauna bath where the water evaporates quickly from hot stones. kuin kuumille kiville like hot cakes (quickly, especially by","421 bytes (46 words) - 23:51, 28 January 2012"
flexbox,"display. 2012, Sergey Mavrody, ?Nika Mavrody, Sergey's HTML5 & CSS3: Quick Reference (page 112) The contents of a flexbox can be positioned in any direction","977 bytes (134 words) - 16:56, 29 July 2016"
neuropin,"the skin. 2009, Ciaran Scott Hill, The Pocket Examiner: A quick medical reference guide for use on the ward: Offer to test pain sensation. Use a","891 bytes (111 words) - 22:35, 28 July 2016"
guide,"people; guidepost. Any marking or object that catches the eye to provide quick reference. A device that guides part of a machine, or guides motion or action","13 KB (596 words) - 10:22, 4 February 2017"
hyperphysical,"beyond the physical realm, immaterial, metaphysical Yet what becomes quickly discernable is that violence and hyperphysical activity often result in","489 bytes (43 words) - 05:52, 23 December 2016"
system tray,"launch menus for those processes. 2005, Dan Gookin, PCs For Dummies Quick Reference, ISBN 0764598759, page 57: The system tray sits on the opposite end","1 KB (172 words) - 03:59, 1 December 2016"
blackout gag,"article on: blackout gag Wikipedia In reference to burlesque and vaudeville, when the lights were quickly turned off after the punchline of a joke","290 bytes (48 words) - 21:05, 15 November 2016"
pommie wash,"wash pommie wash (plural pommie washes) (humorous, Australia, colloquial, slang) A quick wash using a face cloth, often while still partly clothed.","401 bytes (50 words) - 20:19, 16 November 2016"
innuendo,"innuendo (plural innuendoes or innuendos or innuendis) A derogatory hint or reference to a person or thing. An implication, intimation or insinuation. She made","2 KB (107 words) - 16:54, 8 November 2016"
backreference,See also: back-reference back-reference back +? reference backreference (plural backreferences) (computing) An item in a regular expression equivalent,"1 KB (195 words) - 20:12, 29 December 2016"
prontuário,for storage of things that need to be retrieved quickly) (Portugal) handbook; manual (book of reference on a certain field of knowledge) (record): registro,"822 bytes (63 words) - 04:48, 12 September 2016"
non sequuntur,"ultrae. 1998 July 23, ""Bob Newman"" (username), Handy snot-plural quick reference guide, in alt.usage.english, Usenet: Thaank[sic] you, Mr Fnordling-5","2 KB (197 words) - 19:20, 26 January 2016"
hand over fist,"rope. hand over fist (not comparable) (idiomatic) Quickly or in great quantity, especially in reference to earning money. He didn't earn much, but the company","1 KB (138 words) - 13:27, 16 November 2016"
