 , Is snopes.com biased?,"Apr 17th, 2015 Are we Republicans or Democrats? Conservatives or liberals? "
 Fact Check September 11th, Falwell and Robertson Blame Liberal America,"Mar 9th, 2008 Television evangelists Jerry Falwell and Pat Robertson said that various liberal groups bear responsibility for terrorist attacks on the USA because their actions have turned God's anger against Ameri"
 Fact Check Political News, Paul Ryan’s Wife Is a Liberal Who Voted Twice for Obama?,"Oct 31st, 2016 We found no evidence to support the claim that Paul Ryan's wife is a liberal or that she twice voted for President Barack Obama. "
 Fact Check Science, Liberal College Millennials Are Less Biologically Fit Than ‘Real Americans’?,"Nov 17th, 2016 A claim that ""liberal millennials"" are ""not likely to survive the next natural selection event� is not based on how science works. "
 Fact Check Politics, Mike Pence: ‘Condoms Are Too Modern and Liberal’,"Aug 14th, 2016 Indiana Gov. Mike Pence made some now-eyebrow raising comments about the use of condoms in disease prevention back in 2002. "
 Fact Check Politics, Google Result for ‘Trap’ Shows Liberal Agenda?,"Aug 3rd, 2016 Searching Google for the word ""trap"" will result in an example about demonstrators and police, but the sentence wasn't written by the search engine giant. "
 Fact Check Politics, Patton Pending,"Oct 28th, 2015 General George S. Patton likely never said that ""liberal democrats"" were the lowest forms of politicians. "
 Fact Check Fauxtography, Disturbing: LOOK What We Found in This Liberal Textbook,"Mar 5th, 2015 Rumor: Image shows a children's textbook with a passage stating that only white people can be racist and only men can be sexist. "
 News Crime, Plot Trolls,"Oct 29th, 2015 Rumors about anarchist plot (hatched by the heretofore unknown ""National Liberation Militia"") to attack police on Halloween don't appear to be very credible. "
 Fact Check Politics, Some College Students Sign Petition To Ban Song ‘White Christmas’,"Dec 23rd, 2015 A reporter got several college students to sign a fake petition to ban the song ""White Christmas."""
 Fact Check Questionable Quotes, Did Neil Gorsuch Found a High School ‘Fascism Forever’ Club?,"Feb 3rd, 2017 Tabloid claims that Supreme Court nominee Neil Gorsuch had founded a ""Fascism Forever"" club in high school proved false. "
 Fact Check Political News, Taliban Detainees and the LARK Program,"Sep 22nd, 2016 Under the LARK program, are Taliban detainees being housed with liberals who disagree with the government's treatment of prisoners kept at Guantanamo Bay? "
 Fact Check Politics, Teddy Roosevelt on Conservatives vs. Liberals,"Jul 18th, 2016 There's no evidence that Theodore Roosevelt actually said that ""to anger a conservative, lie to him. To anger a liberal, tell him the truth."""
 Fact Check Fauxtography, Image of Donald Trump with No Wig or Makeup,"Jul 16th, 2016 Who knows what GOP presidential candidate Donald Trump's head looks like in its unprepped state? "
 Fact Check Politics, Liberals Demand ‘Offensive’ WWI Memorial be Torn Down?,"Dec 9th, 2016 A popular meme about the Bladensburg Cross claimed that ""liberals"" were ""offended"" by the WWI memorial and demanded its removal. "
 Fact Check Fake News," Brad Pitt Endorses Donald Trump, Slams Money-Hungry Liberals","Oct 24th, 2016 Actor Brad Pitt has not ""blamed liberals"" for taking his money, nor has he endorsed Donald Trump for President. "
 Fact Check Media Matters, New Study Shows Liberals Have a Lower Average IQ Than Conservatives,"Apr 1st, 2015 Rumor: A new Harvard study has shown that liberals have a lower average IQ than conservatives. "
 Fact Check Politics, Does the Supreme Court Overturn 80 Percent of Ninth Circuit Court Decisions?,"Feb 10th, 2017 Some confusing wording suggested the Ninth Circuit Court of Appeals' decisions almost never ""stick."" "
